2023-01-18 04:13:23 [DEBUG] [adaptar_manager] [ "auto" | "send_friend_message" | {"sessionKey":"6urCRD06","target":3325629928,"messageChain":[{"type":"Plain","text":"Hello MiraiTravel!"}]} | {"qqbot":{}} ][now webhook]
2023-01-18 11:25:15 [DEBUG] [adaptar_manager] [ "auto" | "send_group_message" | {"sessionKey":"6urCRD06","target":604568448,"messageChain":[{"type":"Plain","text":"Hello MiraiTravel!"}]} | {"qqbot":{}} ][now webhook]
2023-01-18 11:25:15 [DEBUG] [adaptar_manager] [ "auto" | "send_group_message" | {"sessionKey":"6urCRD06","target":604568448,"messageChain":[{"type":"Plain","text":"Hello MiraiTravel!"}]} | {"qqbot":{}} ][now http]
2023-01-18 11:29:23 [DEBUG] [adaptar_manager] [ "auto" | "send_group_message" | {"sessionKey":"6urCRD06","target":604568448,"messageChain":["\n\/box\/script.js:1\n a\n ^\n\nReferenceError: a is not defined\n    at Object.<anonymous> (\/box\/script.js:1:2)\n    at Module._compile (internal\/modules\/cjs\/loader.js:959:30)\n    at Object.Module._extensions..js (internal\/modules\/cjs\/loader.js:995:10)\n    at Module.load (internal\/modules\/cjs\/loader.js:815:32)\n    at Function.Module._load (internal\/modules\/cjs\/loader.js:727:14)\n    at Function.Module.runMain (internal\/modules\/cjs\/loader.js:1047:10)\n    at internal\/main\/run_main_module.js:17:11\n\nExited with error status 1"]} | {"qqbot":{}} ][now webhook]
2023-01-18 11:29:23 [DEBUG] [adaptar_manager] [ "auto" | "send_group_message" | {"sessionKey":"6urCRD06","target":604568448,"messageChain":["\n\/box\/script.js:1\n a\n ^\n\nReferenceError: a is not defined\n    at Object.<anonymous> (\/box\/script.js:1:2)\n    at Module._compile (internal\/modules\/cjs\/loader.js:959:30)\n    at Object.Module._extensions..js (internal\/modules\/cjs\/loader.js:995:10)\n    at Module.load (internal\/modules\/cjs\/loader.js:815:32)\n    at Function.Module._load (internal\/modules\/cjs\/loader.js:727:14)\n    at Function.Module.runMain (internal\/modules\/cjs\/loader.js:1047:10)\n    at internal\/main\/run_main_module.js:17:11\n\nExited with error status 1"]} | {"qqbot":{}} ][now http]
2023-01-18 11:30:45 [DEBUG] [adaptar_manager] [ "auto" | "send_friend_message" | {"sessionKey":"6urCRD06","target":3325629928,"messageChain":[{"type":"Plain","text":"Hello MiraiTravel!"}]} | {"qqbot":{}} ][now webhook]
2023-01-18 11:30:45 [DEBUG] [adaptar_manager] [ "auto" | "send_friend_message" | {"sessionKey":"6urCRD06","target":3325629928,"messageChain":[{"type":"Plain","text":"Hello MiraiTravel!"}]} | {"qqbot":{}} ][now http]
2023-01-18 11:31:39 [DEBUG] [adaptar_manager] [ "auto" | "send_group_message" | {"sessionKey":"6urCRD06","target":604568448,"messageChain":[{"type":"Plain","text":"Hello MiraiTravel!"}]} | {"qqbot":{}} ][now webhook]
2023-01-18 11:31:39 [DEBUG] [adaptar_manager] [ "auto" | "send_group_message" | {"sessionKey":"6urCRD06","target":604568448,"messageChain":[{"type":"Plain","text":"Hello MiraiTravel!"}]} | {"qqbot":{}} ][now http]
2023-01-18 11:31:40 [DEBUG] [adaptar_manager] [ "auto" | "send_group_message" | {"sessionKey":"6urCRD06","target":604568448,"messageChain":{"\u0000MiraiTravel\\MessageChain\\MessageChain\u0000messageChain":[{"type":"Plain","text":""}]}} | {"qqbot":{}} ][now webhook]
2023-01-18 11:31:40 [DEBUG] [adaptar_manager] [ "auto" | "send_group_message" | {"sessionKey":"6urCRD06","target":604568448,"messageChain":{"\u0000MiraiTravel\\MessageChain\\MessageChain\u0000messageChain":[{"type":"Plain","text":""}]}} | {"qqbot":{}} ][now http]
2023-01-18 11:32:03 [DEBUG] [adaptar_manager] [ "auto" | "send_group_message" | {"sessionKey":"6urCRD06","target":604568448,"messageChain":{"\u0000MiraiTravel\\MessageChain\\MessageChain\u0000messageChain":[{"type":"Plain","text":""}]}} | {"qqbot":{}} ][now webhook]
2023-01-18 11:32:03 [DEBUG] [adaptar_manager] [ "auto" | "send_group_message" | {"sessionKey":"6urCRD06","target":604568448,"messageChain":{"\u0000MiraiTravel\\MessageChain\\MessageChain\u0000messageChain":[{"type":"Plain","text":""}]}} | {"qqbot":{}} ][now http]
2023-01-18 11:33:48 [DEBUG] [adaptar_manager] [ "auto" | "send_group_message" | {"sessionKey":"6urCRD06","target":604568448,"messageChain":{"\u0000MiraiTravel\\MessageChain\\MessageChain\u0000messageChain":[{"type":"Plain","text":"\n\/box\/script.js:1\n a\n ^\n\nReferenceError: a is not defined\n    at Object.<anonymous> (\/box\/script.js:1:2)\n    at Module._compile (internal\/modules\/cjs\/loader.js:959:30)\n    at Object.Module._extensions..js (internal\/modules\/cjs\/loader.js:995:10)\n    at Module.load (internal\/modules\/cjs\/loader.js:815:32)\n    at Function.Module._load (internal\/modules\/cjs\/loader.js:727:14)\n    at Function.Module.runMain (internal\/modules\/cjs\/loader.js:1047:10)\n    at internal\/main\/run_main_module.js:17:11\n\nExited with error status 1"}]}} | {"qqbot":{}} ][now webhook]
2023-01-18 11:33:48 [DEBUG] [adaptar_manager] [ "auto" | "send_group_message" | {"sessionKey":"6urCRD06","target":604568448,"messageChain":{"\u0000MiraiTravel\\MessageChain\\MessageChain\u0000messageChain":[{"type":"Plain","text":"\n\/box\/script.js:1\n a\n ^\n\nReferenceError: a is not defined\n    at Object.<anonymous> (\/box\/script.js:1:2)\n    at Module._compile (internal\/modules\/cjs\/loader.js:959:30)\n    at Object.Module._extensions..js (internal\/modules\/cjs\/loader.js:995:10)\n    at Module.load (internal\/modules\/cjs\/loader.js:815:32)\n    at Function.Module._load (internal\/modules\/cjs\/loader.js:727:14)\n    at Function.Module.runMain (internal\/modules\/cjs\/loader.js:1047:10)\n    at internal\/main\/run_main_module.js:17:11\n\nExited with error status 1"}]}} | {"qqbot":{}} ][now http]
2023-01-18 11:35:48 [DEBUG] [adaptar_manager] [ "auto" | "send_group_message" | {"sessionKey":"6urCRD06","target":604568448,"messageChain":[{"type":"Plain","text":"\n\/box\/script.js:1\n a\n ^\n\nReferenceError: a is not defined\n    at Object.<anonymous> (\/box\/script.js:1:2)\n    at Module._compile (internal\/modules\/cjs\/loader.js:959:30)\n    at Object.Module._extensions..js (internal\/modules\/cjs\/loader.js:995:10)\n    at Module.load (internal\/modules\/cjs\/loader.js:815:32)\n    at Function.Module._load (internal\/modules\/cjs\/loader.js:727:14)\n    at Function.Module.runMain (internal\/modules\/cjs\/loader.js:1047:10)\n    at internal\/main\/run_main_module.js:17:11\n\nExited with error status 1"}]} | {"qqbot":{}} ][now webhook]
2023-01-18 11:35:48 [DEBUG] [adaptar_manager] [ "auto" | "send_group_message" | {"sessionKey":"6urCRD06","target":604568448,"messageChain":[{"type":"Plain","text":"\n\/box\/script.js:1\n a\n ^\n\nReferenceError: a is not defined\n    at Object.<anonymous> (\/box\/script.js:1:2)\n    at Module._compile (internal\/modules\/cjs\/loader.js:959:30)\n    at Object.Module._extensions..js (internal\/modules\/cjs\/loader.js:995:10)\n    at Module.load (internal\/modules\/cjs\/loader.js:815:32)\n    at Function.Module._load (internal\/modules\/cjs\/loader.js:727:14)\n    at Function.Module.runMain (internal\/modules\/cjs\/loader.js:1047:10)\n    at internal\/main\/run_main_module.js:17:11\n\nExited with error status 1"}]} | {"qqbot":{}} ][now http]
2023-01-18 11:36:07 [DEBUG] [adaptar_manager] [ "auto" | "send_group_message" | {"sessionKey":"6urCRD06","target":604568448,"messageChain":[{"type":"Plain","text":"a\n"}]} | {"qqbot":{}} ][now webhook]
2023-01-18 11:36:07 [DEBUG] [adaptar_manager] [ "auto" | "send_group_message" | {"sessionKey":"6urCRD06","target":604568448,"messageChain":[{"type":"Plain","text":"a\n"}]} | {"qqbot":{}} ][now http]
2023-01-18 11:36:16 [DEBUG] [adaptar_manager] [ "auto" | "send_group_message" | {"sessionKey":"6urCRD06","target":604568448,"messageChain":[{"type":"Plain","text":"a\n"}]} | {"qqbot":{}} ][now webhook]
2023-01-18 11:36:16 [DEBUG] [adaptar_manager] [ "auto" | "send_group_message" | {"sessionKey":"6urCRD06","target":604568448,"messageChain":[{"type":"Plain","text":"a\n"}]} | {"qqbot":{}} ][now http]
2023-01-18 11:42:59 [DEBUG] [adaptar_manager] [ "auto" | "send_group_message" | {"sessionKey":"6urCRD06","target":604568448,"messageChain":[{"type":"Plain","text":"a\n"}]} | {"qqbot":{}} ][now webhook]
2023-01-18 11:42:59 [DEBUG] [adaptar_manager] [ "auto" | "send_group_message" | {"sessionKey":"6urCRD06","target":604568448,"messageChain":[{"type":"Plain","text":"a\n"}]} | {"qqbot":{}} ][now http]
2023-01-18 11:44:36 [DEBUG] [adaptar_manager] [ "auto" | "send_group_message" | {"sessionKey":"6urCRD06","target":604568448,"messageChain":[{"type":"Plain","text":"a\n\u5f53\u524dMiraiTravel\u5df2\u4f7f\u7528 585312byte \u5185\u5b58"}]} | {"qqbot":{}} ][now webhook]
2023-01-18 11:44:36 [DEBUG] [adaptar_manager] [ "auto" | "send_group_message" | {"sessionKey":"6urCRD06","target":604568448,"messageChain":[{"type":"Plain","text":"a\n\u5f53\u524dMiraiTravel\u5df2\u4f7f\u7528 585312byte \u5185\u5b58"}]} | {"qqbot":{}} ][now http]
2023-01-20 06:14:00 [DEBUG] [adaptar_manager] [ "auto" | "send_group_message" | {"sessionKey":"qx4WGaPF","target":604568448,"quote":19193,"messageChain":[{"type":"Plain","text":"a\n\u5f53\u524dMiraiTravel\u5df2\u4f7f\u7528 652240byte \u5185\u5b58"}]} |  ][now webhook]
2023-01-20 06:14:26 [DEBUG] [adaptar_manager] [ "auto" | "send_group_message" | {"sessionKey":"qx4WGaPF","target":604568448,"quote":19194,"messageChain":[{"type":"Plain","text":"a\n\u5f53\u524dMiraiTravel\u5df2\u4f7f\u7528 652240byte \u5185\u5b58"}]} |  ][now webhook]
2023-01-20 06:14:35 [DEBUG] [adaptar_manager] [ "auto" | "send_group_message" | {"sessionKey":"qx4WGaPF","target":604568448,"quote":19195,"messageChain":[{"type":"Plain","text":"a\n\u5f53\u524dMiraiTravel\u5df2\u4f7f\u7528 652232byte \u5185\u5b58"}]} |  ][now webhook]
2023-01-20 06:14:35 [DEBUG] [adaptar_manager] [ "auto" | "send_group_message" | {"sessionKey":"qx4WGaPF","target":604568448,"quote":19195,"messageChain":[{"type":"Plain","text":"a\n\u5f53\u524dMiraiTravel\u5df2\u4f7f\u7528 652232byte \u5185\u5b58"}]} |  ][now http]
2023-01-20 06:15:12 [DEBUG] [adaptar_manager] [ "auto" | "send_friend_message" | {"sessionKey":"qx4WGaPF","target":3325629928,"messageChain":[{"type":"Plain","text":"Hello MiraiTravel!"}]} |  ][now webhook]
2023-01-20 06:15:12 [DEBUG] [adaptar_manager] [ "auto" | "send_friend_message" | {"sessionKey":"qx4WGaPF","target":3325629928,"messageChain":[{"type":"Plain","text":"Hello MiraiTravel!"}]} |  ][now http]
2023-01-20 06:15:12 [DEBUG] [adaptar_manager] [ "auto" | "send_friend_message" | {"sessionKey":"qx4WGaPF","target":3325629928,"quote":6310,"messageChain":[{"type":"Plain","text":"You have 377 fans!"}]} |  ][now webhook]
2023-01-20 06:15:12 [DEBUG] [adaptar_manager] [ "auto" | "send_friend_message" | {"sessionKey":"qx4WGaPF","target":3325629928,"quote":6310,"messageChain":[{"type":"Plain","text":"You have 377 fans!"}]} |  ][now http]
